subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category
P12644	Q969V6	UNIPROT	UNIPROT	BMP4	MRTFA	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	21673106	protein	protein
P56706	O75197	UNIPROT	UNIPROT	WNT7B	LRP5	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	15578921	protein	protein
O75116	Q96A00	UNIPROT	UNIPROT	ROCK2	PPP1R14A	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	32471307	protein	protein
P17947	O00470	UNIPROT	UNIPROT	SPI1	MEIS1	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	26622774	protein	protein
Q8TD08	P05412	UNIPROT	UNIPROT	MAPK15	JUN	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	12169099	protein	protein
P23560	Q16620	UNIPROT	UNIPROT	BDNF	NTRK2	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	7679912	protein	protein
O14904	Q9NPG1	UNIPROT	UNIPROT	WNT9A	FZD3	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	15578921	protein	protein
P49841	Q8IZQ8	UNIPROT	UNIPROT	GSK3B	MYOCD	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	16141410	protein	protein
P01100	P26439	UNIPROT	UNIPROT	FOS	HSD3B2	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	19022561	protein	protein
O43174	CHEBI:15367	UNIPROT	ChEBI	CYP26A1	all-trans-retinoic acid	down-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	31963453	protein	smallmolecule
Q9ULU4	P16070	UNIPROT	UNIPROT	ZMYND8	CD44	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	27477906	protein	protein
P45983	Q92934	UNIPROT	UNIPROT	MAPK8	BAD	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	14967141	protein	protein
Q9UJS0	CHEBI:22660	UNIPROT	ChEBI	SLC25A13	aspartic acid	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	12084073	protein	smallmolecule
Q9Y315	CHEBI:62877	UNIPROT	ChEBI	DERA	2-deoxy-D-ribofuranose 5-phosphate(2-)	down-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	25229427	protein	smallmolecule
Q92630	P05412	UNIPROT	UNIPROT	DYRK2	JUN	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	22307329	protein	protein
Q14493	Q96A08	UNIPROT	UNIPROT	SLBP	H2BC1	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	19155325	protein	protein
P53350	Q96BK5	UNIPROT	UNIPROT	PLK1	PINX1	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	20573420	protein	protein
P61586	P35241	UNIPROT	UNIPROT	RHOA	RDX	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	35267019	protein	protein
CHEBI:95066	Q96BR1	ChEBI	UNIPROT	2-cyclopentyl-4-(5-phenyl-1H-pyrrolo[2,3-b]pyridin-3-yl)benzoic acid	SGK3	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	25458846	chemical	protein
Q92949	Q96DT5	UNIPROT	UNIPROT	FOXJ1	DNAH11	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	23822649	protein	protein
Q96M91	Q96DT5	UNIPROT	UNIPROT	CFAP53	DNAH11	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	33347437	protein	protein
Q14526	Q96EB6	UNIPROT	UNIPROT	HIC1	SIRT1	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	21277938	protein	protein
Q05086	P49815	UNIPROT	UNIPROT	UBE3A	TSC2	down-regulates quantity by destabilization	SIGNOR	Multiomics-BigGIM-DrugResponse	18298802	protein	protein
O00222	CHEBI:29108	UNIPROT	ChEBI	GRM8	calcium(2+)	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	29953871	protein	smallmolecule
O15524	P01579	UNIPROT	UNIPROT	SOCS1	IFNG	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	21628332	protein	protein
Q16539	Q99626	UNIPROT	UNIPROT	MAPK14	CDX2	down-regulates quantity by destabilization	SIGNOR	Multiomics-BigGIM-DrugResponse	16027724	protein	protein
P67870	P35222	UNIPROT	UNIPROT	CSNK2B	CTNNB1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12432063	protein	protein
Q8N9B8	P01111	UNIPROT	UNIPROT	RASGEF1A	NRAS	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	19201597	protein	protein
P24468	P10589	UNIPROT	UNIPROT	NR2F2	NR2F1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	10900149	protein	protein
Q9NR61	P35968	UNIPROT	UNIPROT	DLL4	KDR	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	18339870	protein	protein
P23515	Q96FE5	UNIPROT	UNIPROT	OMG	LINGO1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	15694321	protein	protein
Q14289	O43150	UNIPROT	UNIPROT	PTK2B	ASAP2	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	10022920	protein	protein
CHEBI:91336	Q96GD4	ChEBI	UNIPROT	N-[4-[[4-(4-methyl-1-piperazinyl)-6-[(5-methyl-1H-pyrazol-3-yl)amino]-2-pyrimidinyl]thio]phenyl]cyclopropanecarboxamide	AURKB	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	22037378	chemical	protein
P27361	P23396	UNIPROT	UNIPROT	MAPK3	RPS3	unknown	SIGNOR	Multiomics-BigGIM-DrugResponse	15950189	protein	protein
CHEBI:9168	P42345	ChEBI	UNIPROT	sirolimus	MTOR	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	17350953	chemical	protein
CHEBI:91367	Q96GD4	ChEBI	UNIPROT	2-[3-[[7-[3-[ethyl(2-hydroxyethyl)amino]propoxy]-4-quinazolinyl]amino]-1H-pyrazol-5-yl]-N-(3-fluorophenyl)acetamide	AURKB	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	22037378	chemical	protein
Q13535	O43542	UNIPROT	UNIPROT	ATR	XRCC3	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	23438602	protein	protein
P68400	Q96HZ4	UNIPROT	UNIPROT	CSNK2A1	HES6	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12972610	protein	protein
P45983	Q96J02	UNIPROT	UNIPROT	MAPK8	ITCH	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	16469705	protein	protein
Q06330	Q96JK9	UNIPROT	UNIPROT	RBPJ	MAML3	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	21873209	protein	protein
Q9UQM7	Q96NW7	UNIPROT	UNIPROT	CAMK2A	LRRC7	unknown	SIGNOR	Multiomics-BigGIM-DrugResponse	11160423	protein	protein
P78414	Q96PL5	UNIPROT	UNIPROT	IRX1	ERMAP	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	20440264	protein	protein
P35813	O14920	UNIPROT	UNIPROT	PPM1A	IKBKB	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	18930133	protein	protein
Q16816	P10636	UNIPROT	UNIPROT	PHKG1	MAPT	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	8999860	protein	protein
Q15208	Q96RD6	UNIPROT	UNIPROT	STK38	PANX2	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	22445341	protein	protein
Q9Y2Y9	Q96ST3	UNIPROT	UNIPROT	KLF13	SIN3A	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	11438660	protein	protein
Q15759	O75582	UNIPROT	UNIPROT	MAPK11	RPS6KA5	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	9687510	protein	protein
P67870	P35222	UNIPROT	UNIPROT	CSNK2B	CTNNB1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12432063	protein	protein
P67870	P35222	UNIPROT	UNIPROT	CSNK2B	CTNNB1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12432063	protein	protein
P42356	CHEBI:17526	UNIPROT	ChEBI	PI4KA	1-phosphatidyl-1D-myo-inositol 4-phosphate	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	10101268	protein	smallmolecule
P68400	P35222	UNIPROT	UNIPROT	CSNK2A1	CTNNB1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12432063	protein	protein
P51608	Q99259	UNIPROT	UNIPROT	MECP2	GAD1	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	19029285	protein	protein
CHEBI:15558	P37231	ChEBI	UNIPROT	15(S)-HETE	PPARG	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12517954	smallmolecule	protein
Q9UNY4	Q99459	UNIPROT	UNIPROT	TTF2	CDC5L	up-regulates quantity by stabilization	SIGNOR	Multiomics-BigGIM-DrugResponse	12927788	protein	protein
P11309	P38936	UNIPROT	UNIPROT	PIM1	CDKN1A	up-regulates quantity by stabilization	SIGNOR	Multiomics-BigGIM-DrugResponse	20307683	protein	protein
Q16539	O60381	UNIPROT	UNIPROT	MAPK14	HBP1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	14612426	protein	protein
Q6W2J9	Q99496	UNIPROT	UNIPROT	BCOR	RNF2	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	17296600	protein	protein
P41279	Q99558	UNIPROT	UNIPROT	MAP3K8	MAP3K14	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	9742107	protein	protein
P68400	P35222	UNIPROT	UNIPROT	CSNK2A1	CTNNB1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12432063	protein	protein
P01375	P19438	UNIPROT	UNIPROT	TNF	TNFRSF1A	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	17151142	protein	protein
P49840	P49815	UNIPROT	UNIPROT	GSK3A	TSC2	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	20226003	protein	protein
Q16816	P10636	UNIPROT	UNIPROT	PHKG1	MAPT	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	8999860	protein	protein
O43504	P26447	UNIPROT	UNIPROT	LAMTOR5	S100A4	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	22740693	protein	protein
Q8IXJ6	P01106	UNIPROT	UNIPROT	SIRT2	MYC	up-regulates quantity by stabilization	SIGNOR	Multiomics-BigGIM-DrugResponse	23175188	protein	protein
O43474	Q6UXI9	UNIPROT	UNIPROT	KLF4	NPNT	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	23612709	protein	protein
P27361	P42229	UNIPROT	UNIPROT	MAPK3	STAT5A	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	10194762	protein	protein
P08047	O43497	UNIPROT	UNIPROT	SP1	CACNA1G	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	23868804	protein	protein
Q86VS8	P21757	UNIPROT	UNIPROT	HOOK3	MSR1	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	17237231	protein	protein
Q16620	O43559	UNIPROT	UNIPROT	NTRK2	FRS3	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	11432792	protein	protein
Q13315	O94874	UNIPROT	UNIPROT	ATM	UFL1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	30886146	protein	protein
Q96GD4	Q99661	UNIPROT	UNIPROT	AURKB	KIF2C	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	17567953	protein	protein
P31749	Q99683	UNIPROT	UNIPROT	AKT1	MAP3K5	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	11154276	protein	protein
P11161	Q99684	UNIPROT	UNIPROT	EGR2	GFI1	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	16923394	protein	protein
Q14765	O43504	UNIPROT	UNIPROT	STAT4	LAMTOR5	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	22740693	protein	protein
P36888	Q9UPT9	UNIPROT	UNIPROT	FLT3	USP22	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	26049753	protein	protein
Q12986	O14746	UNIPROT	UNIPROT	NFX1	TERT	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	17267499	protein	protein
P53350	Q9UBB4	UNIPROT	UNIPROT	PLK1	ATXN10	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	21857149	protein	protein
O60260	O43175	UNIPROT	UNIPROT	PRKN	PHGDH	down-regulates quantity by destabilization	SIGNOR	Multiomics-BigGIM-DrugResponse	32478681	protein	protein
P26358	Q9UBB5	UNIPROT	UNIPROT	DNMT1	MBD2	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	15618232	protein	protein
P23458	P40763	UNIPROT	UNIPROT	JAK1	STAT3	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	26260587	protein	protein
P00441	P26447	UNIPROT	UNIPROT	SOD1	S100A4	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	31623154	protein	protein
P33076	P26447	UNIPROT	UNIPROT	CIITA	S100A4	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	17143014	protein	protein
CID:1383884	O00519	PUBCHEM	UNIPROT	URB597	FAAH	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	Other	chemical	protein
P49715	Q99684	UNIPROT	UNIPROT	CEBPA	GFI1	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	20924107	protein	protein
O00238	Q99717	UNIPROT	UNIPROT	BMPR1B	SMAD5	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	19620713	protein	protein
P68400	P35222	UNIPROT	UNIPROT	CSNK2A1	CTNNB1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12432063	protein	protein
Q7L7X3	P46734	UNIPROT	UNIPROT	TAOK1	MAP2K3	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	9786855	protein	protein
CHEBI:5847	P04818	ChEBI	UNIPROT	ICI D1694	TYMS	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	Other	chemical	protein
Q05655	P35222	UNIPROT	UNIPROT	PRKCD	CTNNB1	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	25639486	protein	protein
O00141	Q99759	UNIPROT	UNIPROT	SGK1	MAP3K3	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	12392720	protein	protein
P67775	Q99759	UNIPROT	UNIPROT	PPP2CA	MAP3K3	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	20448038	protein	protein
Q08209	Q06413	UNIPROT	UNIPROT	PPP3CA	MEF2C	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	11062529	protein	protein
P19784	Q99801	UNIPROT	UNIPROT	CSNK2A2	NKX3-1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	16581776	protein	protein
CID:44187953	P42338	PUBCHEM	UNIPROT	PKI-402	PIK3CB	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	Other	chemical	protein
O75925	Q9UPW6	UNIPROT	UNIPROT	PIAS1	SATB2	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	14701874	protein	protein
P28482	P41162	UNIPROT	UNIPROT	MAPK1	ETV3	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	22028470	protein	protein
P23470	O75553	UNIPROT	UNIPROT	PTPRG	DAB1	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	25624455	protein	protein
Q96A26	P21796	UNIPROT	UNIPROT	FAM162A	VDAC1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	15082785	protein	protein
Q5TCY1	P10636	UNIPROT	UNIPROT	TTBK1	MAPT	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	16923168	protein	protein
Q9P0L2	P10636	UNIPROT	UNIPROT	MARK1	MAPT	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	21215781	protein	protein
CHEBI:17824	Q71RH2	ChEBI	UNIPROT	propan-2-ol	TLCD3B	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	30010626	smallmolecule	protein
CHEBI:91091	P49841	ChEBI	UNIPROT	CHIR 99021	GSK3B	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	Other	chemical	protein
